prior_knowledge_score,avg_quiz_score,cognitive_load_score,avg_time_per_question,error_rate,revision_frequency,help_requests_count,attention_span_score,mental_fatigue_score,time_variation,concept_mastery_rate,engagement_rate,avg_study_time_per_day,performance_score,ready_for_advanced,ready_for_advanced_svc,learning_path_type,recommended_difficulty
93,89,6,67,0.4696591086710634,5,11,9,6,16,26,86,4,86.88982237726697,1,1,2,2
41,80,4,110,0.5994616800968835,4,18,9,5,8,59,83,1,60.95290846981183,1,1,1,1
41,72,8,39,0.19914635758517008,2,10,9,7,6,96,80,0,61.22897464081945,1,1,1,1
94,60,6,114,0.4587419085700306,5,2,4,9,38,52,15,1,71.24878248279242,1,1,2,1
60,16,4,70,0.43697057139993967,6,10,4,6,10,83,54,5,54.93323764933623,0,0,1,1
74,30,1,43,0.1958419173854793,5,1,9,2,20,82,20,1,65.64310615791078,1,1,1,1
60,28,10,48,0.03648060039025236,9,10,5,1,14,75,13,1,70.60566541641866,1,1,2,1
92,7,5,48,0.3039594904167615,10,18,10,1,21,54,100,4,81.04709685311903,1,1,2,2
11,11,6,35,0.06852526347438714,2,12,3,5,39,36,68,0,17.797131690384823,0,0,0,0
64,58,5,58,0.38303406654023686,6,3,1,2,27,21,32,4,60.80117734273604,1,1,1,1
49,9,5,100,0.4881681972864339,11,17,9,3,29,99,69,0,62.45613005861537,1,1,1,1
36,78,5,94,0.8123467222885431,2,14,5,4,27,39,49,4,49.96663519055475,0,0,1,0
9,55,9,52,0.15360379465130558,4,1,5,6,20,84,68,0,46.08055803996648,0,0,1,0
5,41,5,87,0.7848560440050305,7,8,9,6,7,50,75,2,44.026675442216316,0,0,0,0
48,66,2,102,0.539354608506468,9,6,6,6,27,76,22,5,95.8067170600267,1,1,2,2
13,98,5,72,0.8492730510044691,13,0,9,6,26,68,89,0,100.0,1,1,2,2
98,27,9,103,0.1663115758796717,9,14,6,8,1,53,7,1,74.8924859682296,1,1,2,1
26,30,8,30,0.7548873353738662,3,6,9,3,26,62,51,5,21.056160102618367,0,0,0,0
15,88,3,85,0.7287847556632104,1,4,8,10,39,90,84,2,48.389971658917766,0,0,1,0
16,54,6,61,0.361886355551041,13,2,5,9,6,22,19,5,80.989145812534,1,1,2,2
18,59,9,56,0.651170430923675,11,17,3,10,35,47,26,1,61.74521524750125,1,1,1,1
85,91,9,49,0.2886014959151675,6,10,10,1,7,75,90,1,93.34152013136455,1,1,2,2
95,36,1,70,0.5914943754992084,9,11,10,3,21,38,61,0,78.75175340220223,1,1,2,2
82,47,5,85,0.6262132525698773,8,5,8,5,18,51,73,1,81.83728629921863,1,1,2,2
82,38,5,85,0.5735788312733058,14,6,8,2,16,93,88,5,97.57738548243915,1,1,2,2
85,78,10,118,0.8034165708452887,14,18,3,5,28,84,44,3,100.0,1,1,2,2
78,81,8,98,0.2920643818968862,10,4,10,2,25,87,14,0,100.0,1,1,2,2
35,28,7,119,0.26899985769846646,5,8,10,8,24,34,75,4,37.807455440873156,0,0,0,0
39,90,7,68,0.6362062034415145,10,7,1,4,35,11,86,4,81.23582733149695,1,1,2,2
60,95,1,99,0.7289535841919201,8,5,2,2,1,79,43,3,98.07952011810717,1,1,2,2
11,7,10,42,0.015136211050629123,9,7,8,3,14,35,23,1,40.059784751515565,0,0,0,0
55,76,9,115,0.4980666897364129,5,20,5,3,3,100,14,2,76.41462835846964,1,1,2,2
38,26,3,34,0.15103991862401356,2,17,7,9,14,90,3,4,38.74612819214065,0,0,0,0
88,11,9,96,0.13013477348775426,10,10,9,2,2,43,62,4,70.17458607348252,1,1,2,1
14,46,8,85,0.5968928528525737,8,13,5,5,30,77,69,2,56.454807890313646,0,1,1,1
91,27,1,38,0.023347658079484246,2,0,4,4,5,0,16,1,45.06584747551013,0,0,1,0
81,63,5,94,0.31954809495077274,11,15,9,8,16,12,12,3,88.77205647702688,1,1,2,2
95,96,8,43,0.32824425815251634,3,11,6,7,36,10,99,5,69.44630320390573,1,1,1,1
49,21,3,113,0.9739335375313142,2,3,8,9,37,19,32,3,33.0280917641582,0,0,0,0
81,68,1,58,0.5239459817487646,7,8,5,8,11,66,55,0,89.9335655432652,1,1,2,2
99,11,8,106,0.31875726382952085,0,0,5,4,4,25,51,3,21.916632442782937,0,0,0,0
39,83,9,46,0.3735591102758039,8,12,3,5,15,26,2,5,67.87092093715249,1,1,1,1
30,27,6,33,0.26747659444880423,9,6,3,8,17,70,36,3,54.3191757954009,0,0,1,1
7,6,5,80,0.9800375039371643,3,11,3,9,34,1,17,3,0.5668845807077272,0,0,0,0
72,42,8,71,0.2923025466880177,12,15,10,7,19,74,2,2,91.42642746133116,1,1,2,2
89,14,6,42,0.37115339449967677,2,15,2,3,7,13,63,4,33.637803999030744,0,0,0,0
48,76,4,33,0.8090452978056004,11,12,1,3,3,85,10,3,91.08020971301502,1,1,2,2
58,69,4,61,0.438934777593569,1,12,2,6,33,89,5,4,62.1179854771389,1,1,1,1
26,87,7,33,0.3911516462512682,5,1,7,5,2,48,24,0,66.94932658912055,1,1,1,1
81,67,2,59,0.2059307018713068,12,19,6,8,16,39,3,0,100.0,1,1,2,2
80,64,5,116,0.3455808807577341,9,9,4,7,15,43,62,1,89.21214705079544,1,1,2,2
88,47,5,10,0.8727378487507883,0,0,7,4,38,20,88,3,25.74074021548735,0,0,0,0
13,65,5,46,0.8181065561217165,11,1,5,9,40,86,22,4,82.28329502102582,1,1,2,2
88,44,10,99,0.9915737766595442,10,2,1,10,28,9,40,4,71.83614070294551,1,1,2,1
72,21,4,90,0.24321886822198457,10,15,1,6,24,43,72,5,79.27500405120927,1,1,2,2
29,19,4,102,0.0007890401897453492,10,9,3,7,30,82,40,1,66.47222139075875,1,1,1,1
5,92,9,13,0.1689023921637317,0,3,8,5,37,15,29,0,41.9302317037991,0,0,0,0
85,41,4,54,0.13893912914341333,4,19,8,3,31,22,65,1,59.40364608263206,0,1,1,1
9,96,2,20,0.10939581100816376,1,10,1,4,18,27,87,0,48.945872850504884,0,0,1,0
4,20,9,47,0.36326899057747564,0,16,2,9,21,22,70,5,0.0,0,0,0,0
100,90,1,41,0.5343253730568152,4,0,3,6,13,32,89,3,81.11861593874039,1,1,2,2
30,28,3,102,0.42422070121682853,5,4,4,7,38,62,8,1,45.28640270517002,0,0,1,0
65,98,6,78,0.6731278833041645,8,13,3,5,11,89,54,1,100.0,1,1,2,2
92,63,4,26,0.34246430152868723,6,6,7,10,38,15,61,3,81.27755257053123,1,1,2,2
30,46,6,81,0.4912609029374363,9,10,10,9,12,62,2,5,60.36604838696722,1,1,1,1
91,18,3,51,0.040621753170107744,9,12,9,10,29,2,88,5,67.10175002231885,1,1,1,1
5,53,8,40,0.09521554425487522,10,10,9,1,23,22,40,4,53.72115525797075,0,0,1,1
9,4,3,14,0.6887739506726067,1,15,10,3,37,94,47,0,13.934354365420994,0,0,0,0
56,8,3,35,0.47201028349115737,3,19,5,5,40,96,22,2,37.742397214630714,0,0,0,0
71,61,1,118,0.8147515957247272,7,15,4,4,29,81,33,0,77.4389655356656,1,1,2,2
38,14,4,70,0.18722932158257077,5,19,4,4,11,92,99,3,44.63029837233214,0,0,0,0
91,0,8,66,0.6931259240395771,3,20,5,9,10,67,83,3,33.869921100752165,0,0,0,0
22,54,6,28,0.1782918195525015,8,19,7,6,24,98,59,1,75.16914391882668,1,1,2,2
34,92,5,68,0.041584557573833614,7,3,2,8,1,33,52,0,83.77550537636009,1,1,2,2
48,56,9,106,0.5878592681671259,1,9,9,8,40,33,92,5,34.18033242408738,0,0,0,0
8,55,3,92,0.4797850387962015,5,2,4,9,4,48,87,0,49.57361725953927,0,0,1,0
55,42,2,26,0.13162447060435722,9,19,7,10,14,92,37,5,90.92233079401343,1,1,2,2
72,8,10,103,0.6821615405196373,5,16,3,5,19,57,42,4,32.3049013628692,0,0,0,0
45,8,5,13,0.497000746033308,5,16,1,7,21,65,64,3,40.253176506187714,0,0,0,0
71,51,1,20,0.09867322787180222,9,18,6,1,29,71,56,1,92.20040307064589,1,1,2,2
35,14,3,50,0.503710913309773,5,12,10,5,21,91,63,5,52.980696680143325,0,0,1,1
49,66,9,75,0.10515482210118099,7,20,7,9,20,79,71,0,80.18236004708011,1,1,2,2
62,80,10,18,0.7283561678811206,2,15,3,9,4,93,82,3,57.57715658410232,0,1,1,1
85,55,6,49,0.33361800735257696,0,8,7,6,32,52,91,0,44.07378255551049,0,0,0,0
99,33,6,39,0.7524281077102553,11,6,8,1,17,34,35,5,83.90195700126368,1,1,2,2
77,40,4,46,0.9299463183975673,13,8,9,5,27,42,23,5,79.31539838875925,1,1,2,2
5,100,6,114,0.5693443978567365,2,7,8,4,8,81,52,2,61.24305957563279,1,1,1,1
19,90,7,94,0.2540178384611863,12,15,6,9,28,20,97,1,79.54658641529,1,1,2,2
73,17,1,10,0.6756812921568343,1,13,2,9,8,57,58,4,44.163749508117036,0,0,0,0
64,54,9,42,0.3417904056269573,7,11,8,10,12,47,10,0,70.50656780086963,1,1,2,1
31,72,4,74,0.6734342779483753,7,16,6,6,11,65,42,3,78.10488923967988,1,1,2,2
67,35,6,27,0.9041633631566384,5,3,10,5,18,51,77,3,54.59708209413878,0,0,1,1
53,71,9,11,0.854996507768294,0,9,10,2,40,94,22,2,44.91527820865273,0,0,0,0
53,73,3,28,0.3001926391385079,9,4,4,5,34,20,74,1,88.70008458541598,1,1,2,2
69,33,7,28,0.8721404866803306,6,7,8,1,38,81,5,4,54.48230752583463,0,0,1,1
39,71,7,43,0.15298908557288282,7,5,7,8,9,41,55,2,62.00514582046439,1,1,1,1
58,49,3,43,0.15713279823120108,10,7,7,9,5,5,58,1,88.73742232931882,1,1,2,2
73,97,9,115,0.6737114117595785,4,18,7,1,10,93,38,2,89.6632771728251,1,1,2,2
94,60,8,36,0.6458899794567463,6,7,6,2,2,92,25,2,69.34865006231183,1,1,1,1
69,84,6,37,0.03354043735079415,14,11,9,4,10,63,87,3,100.0,1,1,2,2
53,83,1,13,0.030089781452791953,14,7,9,10,39,12,77,3,100.0,1,1,2,2
68,82,3,102,0.5120900799601137,4,4,5,4,37,98,26,3,87.90126305666249,1,1,2,2
16,56,5,16,0.21801380102868018,5,5,10,10,18,7,2,5,44.37366582557432,0,0,0,0
64,22,9,23,0.5871695610649649,9,9,3,8,2,26,9,2,50.9880249086369,0,0,1,1
69,21,10,59,0.011244787028204195,9,4,7,2,10,25,88,5,52.95675669592863,0,0,1,1
32,77,5,115,0.28577874800825154,11,6,3,10,22,63,87,0,85.8761814240339,1,1,2,2
53,96,1,110,0.8525971018919597,0,16,3,7,6,93,30,0,67.12736423133089,1,1,1,1
72,47,5,111,0.47466332518422805,8,18,6,7,30,36,52,2,70.37948599056456,1,1,2,1
0,63,7,87,0.22476563118615456,5,14,4,3,37,46,11,4,46.07443979434866,0,0,1,0
14,47,2,44,0.6874035726578541,14,12,4,4,14,41,26,1,80.69498631513346,1,1,2,2
48,19,4,51,0.12191308548790203,7,10,1,9,26,28,75,1,46.325553248879714,0,0,1,0
62,30,3,82,0.6599096452464002,2,10,7,2,2,11,15,4,31.13239823589912,0,0,0,0
28,60,6,97,0.8409815894051126,1,20,4,8,5,42,66,1,23.989926985792387,0,0,0,0
84,35,8,38,0.5936606453541886,13,4,7,3,5,44,58,2,83.25928785284287,1,1,2,2
78,35,1,101,0.41556522196258583,9,6,3,10,29,33,99,0,79.72521406087459,1,1,2,2
38,2,10,66,0.15713148789685882,5,9,3,1,7,95,53,0,31.205871564644838,0,0,0,0
40,23,2,70,0.6215156756462447,9,17,9,3,10,85,27,2,67.36684370310766,1,1,1,1
28,32,4,21,0.7879967457332124,7,19,4,2,15,43,17,2,44.87873907488431,0,0,0,0
76,99,8,94,0.13136379347760263,1,11,8,6,5,67,83,1,65.95844583399008,1,1,1,1
63,40,5,61,0.36631143049563086,12,0,9,7,31,86,48,0,92.68406103189373,1,1,2,2
51,60,9,52,0.04692504147593468,5,9,3,3,36,47,87,4,69.97287937612981,1,1,1,1
60,40,8,69,0.8712130135922109,10,1,3,8,3,8,30,1,55.46462000969388,0,1,1,1
4,54,7,45,0.5250504753344971,6,16,9,1,25,92,7,2,54.104756605353494,0,0,1,1
4,56,4,86,0.6293386839184654,8,18,6,3,23,9,28,5,49.69411924821133,0,0,1,0
24,34,2,23,0.48693404385574335,0,5,3,1,33,26,47,5,19.69912031534446,0,0,0,0
77,10,2,113,0.9790816064149818,2,0,2,5,39,78,8,0,29.4148416190273,0,0,0,0
79,34,1,117,0.7316847157374698,12,12,3,1,26,84,4,0,95.0167380210188,1,1,2,2
77,17,7,110,0.2533742341124633,1,4,8,3,34,1,75,1,25.307574941167204,0,0,0,0
15,38,8,11,0.9934345714732341,12,4,9,4,16,57,80,1,50.41366410794415,0,0,1,1
52,6,6,102,0.7851532468260833,10,18,2,10,21,83,34,4,42.89752752988085,0,0,0,0
16,36,9,26,0.07152483968778756,2,18,3,7,18,43,16,3,26.992575581927067,0,0,0,0
36,6,10,62,0.503576661032822,8,9,10,7,24,51,77,3,41.615455537773656,0,0,0,0
7,60,6,10,0.3499880546963371,12,15,5,3,12,68,65,0,81.01768803138758,1,1,2,2
100,5,9,51,0.5945595665865048,8,12,2,4,19,69,76,3,45.8035705910083,0,0,1,0
80,75,2,82,0.39491470453903754,13,0,1,8,4,35,99,1,100.0,1,1,2,2
68,55,2,68,0.49282740635721134,5,15,9,3,24,36,61,0,57.998156968321915,0,1,1,1
58,66,2,30,0.8382733639319082,3,12,8,8,40,13,74,2,52.87884633525648,0,0,1,1
25,21,10,96,0.05683178478667028,9,12,1,3,12,91,52,0,60.84796266143455,1,1,1,1
57,74,1,59,0.19374158112761475,8,4,1,4,29,58,42,4,90.42377666450844,1,1,2,2
40,57,1,65,0.6395217246092052,12,16,6,1,25,70,13,5,97.05432405149394,1,1,2,2
0,56,7,48,0.02712829039613318,9,6,4,2,27,79,25,0,77.09969726492838,1,1,2,2
23,86,2,42,0.8261739064538954,0,15,5,2,39,90,97,0,49.80406788814615,0,0,1,0
63,13,1,95,0.7799227743643449,12,1,8,4,1,31,91,0,70.56465854878904,1,1,2,1
52,93,9,78,0.01246233791212914,10,9,9,10,16,46,72,2,100.0,1,1,2,2
12,76,2,24,0.8341185535928157,1,19,9,2,13,6,88,3,32.59793648527987,0,0,0,0
94,27,1,120,0.3017856531204972,13,13,7,2,31,11,77,3,93.83755711625605,1,1,2,2
29,71,7,30,0.15338069839849022,2,3,6,9,38,51,2,3,58.65595103877311,0,1,1,1
37,0,7,78,0.469104560883395,9,14,3,7,27,81,21,2,42.8272651506627,0,0,0,0
18,96,3,92,0.036057020992405486,6,15,1,9,19,5,11,2,74.18906325130789,1,1,2,1
22,35,10,28,0.5164439889207011,6,11,2,6,3,77,26,5,32.83313676655521,0,0,0,0
81,89,2,93,0.44740716525198587,1,18,10,5,25,80,93,1,87.61996976234454,1,1,2,2
60,28,6,61,0.020440756806940907,0,12,7,6,31,8,9,3,26.004309337550684,0,0,0,0
11,19,3,93,0.6637750219413566,5,15,5,6,24,91,9,0,30.872081688196978,0,0,0,0
9,35,1,41,0.03251025299608179,9,5,5,1,18,10,45,5,58.43328353493184,0,1,1,1
73,88,7,97,0.4938846849077464,5,8,8,3,29,95,30,2,88.33140111556862,1,1,2,2
59,71,1,77,0.8961254206410555,10,10,10,5,40,56,77,3,83.79758770625648,1,1,2,2
56,85,9,83,0.8005878132663888,0,8,10,5,9,67,60,2,46.08325760089312,0,0,1,0
0,52,1,89,0.391072335024247,9,7,4,2,15,67,11,4,72.69175041538614,1,1,2,1
20,54,7,24,0.999278638655085,7,18,4,7,3,79,90,1,50.8458622131545,0,0,1,1
79,60,2,51,0.7327184051978315,6,18,4,5,4,42,50,4,76.91459773572637,1,1,2,2
82,75,3,46,0.06981584329310409,4,9,1,3,14,22,61,5,81.70683227047736,1,1,2,2
59,61,1,54,0.5944339851822167,6,2,2,10,33,36,47,1,66.50740670228946,1,1,1,1
14,47,5,17,0.8626481966632848,13,3,9,2,13,5,94,0,57.7011962641046,0,1,1,1
14,85,6,38,0.46858746630579207,0,13,5,4,23,57,7,1,31.0259632647542,0,0,0,0
75,94,6,42,0.22207411584743397,10,11,9,3,22,0,30,2,95.41666504250394,1,1,2,2
11,37,10,106,0.19468154723595588,13,8,4,5,27,94,16,5,71.05679558262938,1,1,2,1
98,65,9,53,0.5120493403209037,13,20,10,9,21,73,66,4,99.510701304885,1,1,2,2
51,12,9,48,0.8570062625617118,12,15,4,4,4,18,57,2,41.95295498414103,0,0,0,0
70,30,3,120,0.08465417375317941,8,19,5,4,7,11,49,5,67.39547360106332,1,1,1,1
12,32,2,67,0.22360021634632887,7,6,8,1,23,77,34,0,57.3954348833318,0,1,1,1
9,84,2,105,0.4134737171581585,2,4,1,4,1,12,33,0,50.013319081007985,0,0,1,1
98,64,7,84,0.16721848039997944,11,16,8,10,8,39,99,5,95.98568660782244,1,1,2,2
79,77,8,84,0.2999771809604924,14,10,10,2,19,58,8,2,100.0,1,1,2,2
89,96,3,21,0.9380543693103965,9,9,3,9,8,37,4,3,89.91511017745408,1,1,2,2
14,10,6,73,0.106353405999278,8,5,9,8,1,32,22,4,34.657973150189676,0,0,0,0
78,43,2,14,0.12447326124785019,7,16,1,1,24,46,15,3,73.358970951263,1,1,2,1
33,36,2,74,0.4748695553634018,11,12,9,3,4,74,52,5,74.23778620046276,1,1,2,1
44,79,9,54,0.17402939105561388,7,15,3,10,24,84,75,0,78.77039437435563,1,1,2,2
97,73,2,53,0.6751014927123639,0,9,2,7,29,4,71,5,56.47214959425428,0,1,1,1
54,64,5,55,0.8593043048234682,3,3,10,5,32,41,95,1,42.02458178196232,0,0,0,0
94,18,6,22,0.776055761964786,5,4,8,7,3,96,67,2,59.248190432684794,0,1,1,1
93,36,9,15,0.30173346718782335,3,17,2,9,20,2,93,2,44.03184818275642,0,0,0,0
5,95,6,24,0.3143564041479123,13,4,4,1,21,98,30,0,100.0,1,1,2,2
47,10,9,22,0.8164442748754788,11,9,4,1,38,50,14,4,52.416836063818565,0,0,1,1
21,34,4,81,0.7946847944433252,14,15,5,4,18,86,96,5,82.7994541910663,1,1,2,2
79,39,3,120,0.3165634894709888,1,14,9,5,22,15,50,5,42.62442649984798,0,0,0,0
83,65,3,31,0.11725610596082925,14,9,4,3,32,61,31,2,100.0,1,1,2,2
54,94,3,18,0.25517772819455664,12,6,8,7,7,92,89,4,100.0,1,1,2,2
5,28,9,71,0.39610962506937675,5,16,2,2,9,91,6,0,36.661343064588635,0,0,0,0
19,24,6,78,0.9257448851006812,9,12,8,3,39,43,51,1,38.90911036527227,0,0,0,0
28,26,7,99,0.9454660378680715,2,19,8,7,12,0,8,0,0.9635319037668619,0,0,0,0
54,54,2,87,0.6702057612545914,2,4,3,10,32,82,29,2,51.65757984524946,0,0,1,1
46,60,5,109,0.47993373412286533,7,19,4,10,35,29,64,3,66.84780985587697,1,1,1,1
77,90,6,71,0.7814566238989202,4,4,1,2,39,37,16,0,70.24288161566805,1,1,2,1
18,73,7,17,0.27402788958693136,9,8,5,2,29,87,28,2,82.31460840816285,1,1,2,2
27,51,1,42,0.47802358929668,8,2,2,1,30,69,8,5,72.12728441025081,1,1,2,1
17,65,1,73,0.5407831727312997,9,6,6,9,38,66,77,4,79.62208989556707,1,1,2,2
9,2,4,15,0.19733589475488666,12,2,7,7,28,11,52,0,52.60648445943869,0,0,1,1
60,62,5,92,0.3641279396373168,9,3,2,3,29,10,24,2,73.68725355886299,1,1,2,1
47,17,8,98,0.6152653984124181,6,11,4,3,23,17,99,1,23.28504620858753,0,0,0,0
39,37,2,46,0.147943077526148,5,6,4,10,1,59,18,0,48.47581695115312,0,0,1,0
82,92,1,42,0.4649436224495287,11,16,10,1,18,83,40,4,100.0,1,1,2,2
21,31,5,54,0.5787318286926756,12,15,1,8,35,71,49,3,72.05801472524487,1,1,2,1
7,49,6,80,0.1621152042384324,7,6,1,6,27,63,71,2,57.42660087822613,0,1,1,1
41,16,4,56,0.1771992770772971,8,9,10,8,37,81,15,5,65.13573319025666,1,1,1,1
99,84,1,85,0.5433684075582624,4,5,8,5,15,26,93,2,79.5434028873913,1,1,2,2
93,55,10,114,0.5649704720650593,2,18,2,4,8,69,4,1,50.99286956556477,0,0,1,1
77,53,1,115,0.9675004578821518,13,2,1,7,4,98,93,4,100.0,1,1,2,2
79,76,1,58,0.6842246198517266,8,19,9,2,4,98,14,2,100.0,1,1,2,2
78,27,2,26,0.07164352145371267,3,10,2,7,13,40,78,0,44.22072256652146,0,0,0,0
74,51,8,53,0.8736862152212085,13,2,8,3,30,68,94,0,93.31010504064054,1,1,2,2
2,68,1,59,0.4906123842055645,5,17,8,2,18,78,98,5,57.71144394647382,0,1,1,1
12,38,1,97,0.8817242534505692,8,9,1,7,37,62,93,0,49.296796535862626,0,0,1,0
14,47,9,96,0.810768313564515,12,3,2,1,30,54,21,1,66.48101316271709,1,1,1,1
13,98,2,119,0.2192141163870458,11,3,8,10,24,78,9,2,100.0,1,1,2,2
38,12,6,114,0.20504352340099485,2,11,6,6,3,34,44,1,17.5989343526064,0,0,0,0
63,87,7,117,0.8908252485159023,5,13,9,8,17,36,65,4,68.52511227243312,1,1,1,1
97,9,4,68,0.2538923502953506,0,6,7,2,18,90,88,5,42.683355812988175,0,0,0,0
38,34,6,113,0.4060158717200917,0,17,5,3,24,85,37,1,32.23843103719492,0,0,0,0
2,15,2,53,0.02301678703087584,13,2,10,7,6,85,99,4,66.7375006314779,1,1,1,1
43,98,2,22,0.2633918469487416,7,13,4,10,28,47,97,4,100.0,1,1,2,2
43,34,8,73,0.14978466899847964,3,11,6,9,40,50,39,4,41.323977786165244,0,0,0,0
92,1,10,54,0.3603838022964194,5,1,8,10,14,58,14,0,37.78785262553136,0,0,0,0
67,86,2,111,0.886574708680619,5,1,8,1,35,8,86,2,66.54310182253013,1,1,1,1
87,73,2,88,0.03491744485006032,0,16,4,3,26,60,3,2,78.07386205725979,1,1,2,2
46,0,1,25,0.7735154017256839,9,0,1,4,3,27,41,1,35.993334154198536,0,0,0,0
11,10,5,50,0.3046862852521174,3,7,8,7,14,87,42,2,27.43199116207766,0,0,0,0
66,3,6,41,0.05400392641966745,3,8,3,4,6,22,92,3,25.564923607985325,0,0,0,0
36,52,1,43,0.04710090435665182,13,7,3,7,1,62,38,1,100.0,1,1,2,2
24,2,10,73,0.031341050941335324,10,18,6,1,35,13,27,4,20.261452453970584,0,0,0,0
72,76,2,89,0.711757782909686,3,11,8,3,16,33,92,0,59.64195677308111,0,1,1,1
85,72,3,27,0.7031174236786105,3,12,6,10,4,50,77,4,59.23413068756397,0,1,1,1
24,82,5,21,0.6333802244399215,2,17,6,8,20,93,49,0,60.23331626078798,1,1,1,1
25,42,9,57,0.5960007087189999,1,9,8,9,33,38,68,1,12.839687101449753,0,0,0,0
86,58,10,99,0.3492760303935658,4,8,2,9,34,48,47,3,66.14489918301769,1,1,1,1
76,87,9,37,0.5668811370219651,0,12,2,1,24,76,62,0,59.4625489231689,0,1,1,1
62,77,8,14,0.9812643026186673,12,19,4,8,20,56,0,4,88.92025397914114,1,1,2,2
29,16,7,90,0.36871635516185763,7,1,7,2,26,59,41,5,49.89232115425939,0,0,1,0
3,30,9,20,0.6436521472072407,7,8,1,6,23,48,59,0,28.41988115724568,0,0,0,0
74,35,1,27,0.7818109371077798,2,19,2,1,19,91,91,4,50.09450403214782,0,0,1,1
8,83,9,59,0.6345957736037877,9,16,9,4,10,89,46,1,68.47729240093561,1,1,1,1
15,52,5,118,0.37786361107658006,8,16,6,4,18,76,67,0,67.1969172388371,1,1,1,1
43,93,9,61,0.4869903643841065,1,0,4,9,25,1,85,1,47.76553683217111,0,0,1,0
100,16,10,75,0.44486529706547506,3,3,9,4,31,60,38,2,45.53091920260615,0,0,1,0
29,6,7,70,0.6778359897791352,6,3,10,8,24,18,19,3,15.75793200595283,0,0,0,0
45,52,5,73,0.00940336121326557,1,19,3,10,18,83,29,5,58.71346195690501,0,1,1,1
21,2,3,103,0.7605463786872013,12,2,1,6,6,5,34,2,46.0556356310694,0,0,1,0
